transfer_id,asset_tag,serial_number,from_custodian,to_custodian,from_location,to_location,transfer_date,approval_id,received_date
TR-00077,MD-00077,MD-LA-050077,Central Receiving,E0080,Atlanta Warehouse,Remote - Former Employee,2026-06-05,APR-00077,2026-06-06
TR-00078,MD-00078,MD-MO-050078,Central Receiving,E0081,Atlanta Warehouse,Remote - Former Employee,2026-01-10,APR-00078,2026-01-10
TR-00079,MD-00079,MD-MO-050079,Central Receiving,E0082,Atlanta Warehouse,Remote - Former Employee,2026-02-11,APR-00079,2026-02-13
TR-00080,MD-00080,MD-NE-050080,Central Receiving,Return Carrier,Atlanta Warehouse,Carrier Network,2026-03-16,APR-00080,2026-03-17
TR-00081,MD-00081,MD-LA-050081,Central Receiving,Return Carrier,Atlanta Warehouse,Carrier Network,2026-04-20,APR-00081,2026-04-20
TR-00082,MD-00082,MD-MO-050082,Central Receiving,Return Carrier,Atlanta Warehouse,Carrier Network,2026-05-22,APR-00082,2026-05-24
TR-00083,MD-00083,MD-MO-050083,Central Receiving,Return Carrier,Atlanta Warehouse,Carrier Network,2026-06-26,APR-00083,2026-06-27
TR-00084,MD-00084,MD-NE-050084,Central Receiving,Return Carrier,Atlanta Warehouse,Carrier Network,2026-01-30,APR-00084,2026-02-05
TR-00085,MD-00085,MD-LA-050085,Central Receiving,Return Carrier,Atlanta Warehouse,Carrier Network,2026-02-02,APR-00085,2026-02-03
TR-00086,MD-00086,MD-MO-050086,Central Receiving,Return Carrier,Atlanta Warehouse,Carrier Network,2026-03-07,APR-00086,2026-03-08
TR-00087,MD-00087,MD-MO-050087,Central Receiving,Return Carrier,Atlanta Warehouse,Carrier Network,2026-04-12,APR-00087,2026-04-12
TR-00088,MD-00088,MD-NE-050088,Central Receiving,Return Carrier,Atlanta Warehouse,Carrier Network,2026-05-13,APR-00088,2026-05-14
TR-00089,MD-00089,MD-LA-050089,Central Receiving,Unverified,Atlanta Warehouse,Unknown,2026-06-17,APR-00089,2026-06-17
TR-00090,MD-00090,MD-MO-050090,Central Receiving,Unverified,Atlanta Warehouse,Unknown,2026-01-22,APR-00090,2026-01-28
TR-00091,MD-00091,MD-MO-050091,Central Receiving,Unverified,Atlanta Warehouse,Unknown,2026-02-23,APR-00091,2026-02-24
TR-00092,MD-00092,MD-NE-050088,Central Receiving,Unverified,Atlanta Warehouse,Unknown,2026-03-28,APR-00092,2026-03-28
TR-00093,MD-00093,MD-LA-050093,Central Receiving,Unverified,Atlanta Warehouse,Unknown,2026-05-02,APR-00093,2026-05-06
TR-00094,MD-00094,MD-MO-050094,Central Receiving,Unverified,Atlanta Warehouse,Unknown,2026-06-03,APR-00094,2026-06-04
TR-00095,MD-00095,MD-MO-050095,Central Receiving,Unverified,Atlanta Warehouse,Unknown,2026-07-08,APR-00095,2026-07-08
TR-00096,MD-00096,MD-NE-050096,Central Receiving,Unverified,Atlanta Warehouse,Unknown,2026-01-18,APR-00096,2026-01-19
TR-00097,MD-00097,MD-LA-050097,Central Receiving,Unverified,Atlanta Warehouse,Unknown,2026-01-21,APR-00097,2026-01-27
TR-00098,MD-00098,MD-MO-050098,Central Receiving,Unverified,Atlanta Warehouse,Unknown,2026-02-23,APR-00098,2026-02-24
TR-00099,MD-00099,MD-MO-050099,Central Receiving,Unverified,Atlanta Warehouse,Unknown,2026-03-31,APR-00099,2026-04-02
TR-00100,MD-00100,MD-NE-050100,Central Receiving,Unverified,Atlanta Warehouse,Unknown,2026-05-01,APR-00100,2026-05-05
TR-00101,MD-00101,MD-LA-050101,Central Receiving,Regional IT,Atlanta Warehouse,Seattle,2026-06-05,APR-00101,2026-06-07
TR-00102,MD-00102,MD-MO-050102,Central Receiving,Regional IT,Atlanta Warehouse,Atlanta,2026-01-10,APR-00102,2026-01-11
TR-00103,MD-00103,MD-MO-050103,Central Receiving,Regional IT,Atlanta Warehouse,Chicago,2026-02-11,APR-00103,2026-02-14
TR-00104,MD-00104,MD-NE-050104,Central Receiving,Regional IT,Atlanta Warehouse,Dallas,2026-03-16,APR-00104,2026-03-18
TR-00105,MD-00105,MD-LA-050105,Central Receiving,Regional IT,Atlanta Warehouse,Denver,2026-04-20,APR-00105,2026-04-21
TR-00106,MD-00106,MD-MO-050106,Central Receiving,Regional IT,Atlanta Warehouse,New York,2026-05-22,APR-00106,2026-05-25
TR-00107,MD-00107,MD-MO-050107,Central Receiving,Regional IT,Atlanta Warehouse,Seattle,2026-06-26,APR-00107,2026-06-27
TR-00108,MD-00108,MD-NE-050108,Central Receiving,Regional IT,Atlanta Warehouse,Atlanta,2026-01-30,APR-00108,2026-01-30
TR-00109,MD-00109,MD-LA-050109,Central Receiving,Regional IT,Atlanta Warehouse,Chicago,2026-02-02,APR-00109,2026-02-04
TR-00110,MD-00110,MD-MO-050110,Central Receiving,Regional IT,Atlanta Warehouse,Dallas,2026-03-07,APR-00110,2026-03-08
TR-00111,MD-00111,MD-MO-050111,Central Receiving,Certified Recycler,Atlanta Warehouse,Disposed,2026-04-12,APR-00111,2026-04-13
TR-00112,MD-00112,MD-NE-050112,Central Receiving,Certified Recycler,Atlanta Warehouse,Disposed,2026-05-13,APR-00112,2026-05-15
TR-00113,MD-00113,MD-LA-050113,Central Receiving,Certified Recycler,Atlanta Warehouse,Disposed,2026-06-17,APR-00113,2026-06-18
TR-00114,MD-00114,MD-MO-050114,Central Receiving,Certified Recycler,Atlanta Warehouse,Disposed,2026-01-22,APR-00114,2026-01-22
TR-00115,MD-00115,MD-MO-050115,Central Receiving,Certified Recycler,Atlanta Warehouse,Disposed,2026-02-23,APR-00115,2026-02-25
TR-00116,MD-00116,MD-NE-050116,Central Receiving,Certified Recycler,Atlanta Warehouse,Disposed,2026-03-28,APR-00116,2026-03-29
TR-00117,MD-00117,MD-LA-050117,Central Receiving,Certified Recycler,Atlanta Warehouse,Disposed,2026-05-02,APR-00117,2026-05-02
TR-00118,MD-00118,MD-MO-050118,Central Receiving,Certified Recycler,Atlanta Warehouse,Disposed,2026-06-03,APR-00118,2026-06-04
TR-00119,MD-00119,MD-MO-050119,Central Receiving,Certified Recycler,Atlanta Warehouse,Disposed,2026-07-08,APR-00119,2026-07-09
TR-00120,MD-00120,MD-NE-050120,Central Receiving,Certified Recycler,Atlanta Warehouse,Disposed,2026-01-18,APR-00120,2026-01-20
TR-00121,MD-00121,MD-LA-050121,Central Receiving,IT Stock,Atlanta Warehouse,Chicago,2026-01-21,APR-00121,2026-01-21
TR-00122,MD-00122,MD-MO-050122,Central Receiving,IT Stock,Atlanta Warehouse,Dallas,2026-02-23,APR-00122,2026-02-25
TR-00123,MD-00123,MD-MO-050123,Central Receiving,IT Stock,Atlanta Warehouse,Denver,2026-03-31,APR-00123,2026-04-03
TR-00124,MD-00124,MD-NE-050124,Central Receiving,IT Stock,Atlanta Warehouse,New York,2026-05-01,APR-00124,2026-05-01
TR-00125,MD-00125,MD-LA-050125,Central Receiving,IT Stock,Atlanta Warehouse,Seattle,2026-06-05,APR-00125,2026-06-08
TR-00126,MD-00126,MD-MO-050126,Central Receiving,IT Stock,Atlanta Warehouse,Atlanta,2026-01-10,APR-00126,2026-01-12
TR-00127,MD-00127,MD-MO-050127,Central Receiving,E0061,Atlanta Warehouse,Denver,2026-02-11,,2026-02-17
TR-00128,MD-00128,MD-NE-050128,Central Receiving,E0062,Atlanta Warehouse,New York,2026-03-16,APR-00128,2026-03-19
TR-00129,MD-00129,MD-LA-050129,Central Receiving,E0063,Atlanta Warehouse,Seattle,2026-04-20,APR-00129,2026-04-21
TR-00130,MD-00130,MD-MO-050130,Central Receiving,E0064,Atlanta Warehouse,Atlanta,2026-05-22,APR-00130,2026-05-28
TR-00131,MD-00131,MD-MO-050131,Central Receiving,E0065,Atlanta Warehouse,Chicago,2026-06-26,APR-00131,2026-06-28
TR-00132,MD-00132,MD-NE-050132,Central Receiving,E0066,Atlanta Warehouse,Dallas,2026-01-30,APR-00132,2026-01-31
