purchase_order,vendor,order_date,asset_tag,line_amount,po_total,capitalization_approved,approver_role,asset_tags
PO-2022-0005,Zones,2022-05-14,MD-00026,745,13785,Yes,P2P Approver,MD-00021; MD-00022; MD-00023; MD-00024; MD-00025; MD-00026; MD-00027
PO-2022-0005,Zones,2022-05-14,MD-00027,1220,13785,Yes,P2P Approver,MD-00021; MD-00022; MD-00023; MD-00024; MD-00025; MD-00026; MD-00027
PO-2023-0006,CDW,2023-06-18,MD-00028,6200,18245,Yes,"Category Manager, Client Devices",MD-00028; MD-00029; MD-00030; MD-00031; MD-00032; MD-00033
PO-2023-0006,CDW,2023-06-18,MD-00029,1895,18245,Yes,"Category Manager, Client Devices",MD-00028; MD-00029; MD-00030; MD-00031; MD-00032; MD-00033
PO-2023-0006,CDW,2023-06-18,MD-00030,610,18245,Yes,"Category Manager, Client Devices",MD-00028; MD-00029; MD-00030; MD-00031; MD-00032; MD-00033
PO-2023-0006,CDW,2023-06-18,MD-00031,1085,18245,Yes,"Category Manager, Client Devices",MD-00028; MD-00029; MD-00030; MD-00031; MD-00032; MD-00033
PO-2023-0006,CDW,2023-06-18,MD-00032,6380,18245,Yes,"Category Manager, Client Devices",MD-00028; MD-00029; MD-00030; MD-00031; MD-00032; MD-00033
PO-2023-0006,CDW,2023-06-18,MD-00033,2075,18245,Yes,"Category Manager, Client Devices",MD-00028; MD-00029; MD-00030; MD-00031; MD-00032; MD-00033
PO-2024-0007,Insight,2024-07-21,MD-00034,790,1740,Yes,IT Procurement Manager,MD-00034; MD-00035
PO-2024-0007,Insight,2024-07-21,MD-00035,950,1740,Yes,IT Procurement Manager,MD-00034; MD-00035
PO-2025-0008,SHI,2025-08-22,MD-00036,6245,26320,Yes,Hardware Buying Lead,MD-00036; MD-00037; MD-00038; MD-00039; MD-00040; MD-00041; MD-00042; MD-00043; MD-00044
PO-2025-0008,SHI,2025-08-22,MD-00037,1940,26320,Yes,Hardware Buying Lead,MD-00036; MD-00037; MD-00038; MD-00039; MD-00040; MD-00041; MD-00042; MD-00043; MD-00044
PO-2025-0008,SHI,2025-08-22,MD-00038,655,26320,Yes,Hardware Buying Lead,MD-00036; MD-00037; MD-00038; MD-00039; MD-00040; MD-00041; MD-00042; MD-00043; MD-00044
PO-2025-0008,SHI,2025-08-22,MD-00039,1130,26320,Yes,Hardware Buying Lead,MD-00036; MD-00037; MD-00038; MD-00039; MD-00040; MD-00041; MD-00042; MD-00043; MD-00044
PO-2025-0008,SHI,2025-08-22,MD-00040,6425,26320,Yes,Hardware Buying Lead,MD-00036; MD-00037; MD-00038; MD-00039; MD-00040; MD-00041; MD-00042; MD-00043; MD-00044
PO-2025-0008,SHI,2025-08-22,MD-00041,2120,26320,Yes,Hardware Buying Lead,MD-00036; MD-00037; MD-00038; MD-00039; MD-00040; MD-00041; MD-00042; MD-00043; MD-00044
PO-2025-0008,SHI,2025-08-22,MD-00042,520,26320,Yes,Hardware Buying Lead,MD-00036; MD-00037; MD-00038; MD-00039; MD-00040; MD-00041; MD-00042; MD-00043; MD-00044
PO-2025-0008,SHI,2025-08-22,MD-00043,995,26320,Yes,Hardware Buying Lead,MD-00036; MD-00037; MD-00038; MD-00039; MD-00040; MD-00041; MD-00042; MD-00043; MD-00044
PO-2025-0008,SHI,2025-08-22,MD-00044,6290,26320,Yes,Hardware Buying Lead,MD-00036; MD-00037; MD-00038; MD-00039; MD-00040; MD-00041; MD-00042; MD-00043; MD-00044
PO-2022-0009,PCM,2022-09-26,MD-00045,1985,12180,Yes,"Director, Procurement",MD-00045; MD-00046; MD-00047; MD-00048; MD-00049
PO-2022-0009,PCM,2022-09-26,MD-00046,700,12180,Yes,"Director, Procurement",MD-00045; MD-00046; MD-00047; MD-00048; MD-00049
PO-2022-0009,PCM,2022-09-26,MD-00047,1175,12180,Yes,"Director, Procurement",MD-00045; MD-00046; MD-00047; MD-00048; MD-00049
PO-2022-0009,PCM,2022-09-26,MD-00048,6470,12180,Yes,"Director, Procurement",MD-00045; MD-00046; MD-00047; MD-00048; MD-00049
PO-2022-0009,PCM,2022-09-26,MD-00049,1850,12180,Yes,"Director, Procurement",MD-00045; MD-00046; MD-00047; MD-00048; MD-00049
PO-2023-0010,CDW,2023-10-27,MD-00050,565,7940,Yes,IT Procurement Manager,MD-00050; MD-00051; MD-00052
PO-2023-0010,CDW,2023-10-27,MD-00051,1040,7940,Yes,IT Procurement Manager,MD-00050; MD-00051; MD-00052
PO-2023-0010,CDW,2023-10-27,MD-00052,6335,7940,Yes,IT Procurement Manager,MD-00050; MD-00051; MD-00052
PO-2024-0011,Zones,2024-11-08,MD-00053,2030,20165,Yes,P2P Approver,MD-00053; MD-00054; MD-00055; MD-00056; MD-00057; MD-00058; MD-00059; MD-00060
PO-2024-0011,Zones,2024-11-08,MD-00054,745,20165,Yes,P2P Approver,MD-00053; MD-00054; MD-00055; MD-00056; MD-00057; MD-00058; MD-00059; MD-00060
PO-2024-0011,Zones,2024-11-08,MD-00055,1220,20165,Yes,P2P Approver,MD-00053; MD-00054; MD-00055; MD-00056; MD-00057; MD-00058; MD-00059; MD-00060
PO-2024-0011,Zones,2024-11-08,MD-00056,6200,20165,Yes,P2P Approver,MD-00053; MD-00054; MD-00055; MD-00056; MD-00057; MD-00058; MD-00059; MD-00060
PO-2024-0011,Zones,2024-11-08,MD-00057,1895,20165,Yes,P2P Approver,MD-00053; MD-00054; MD-00055; MD-00056; MD-00057; MD-00058; MD-00059; MD-00060
PO-2024-0011,Zones,2024-11-08,MD-00058,610,20165,Yes,P2P Approver,MD-00053; MD-00054; MD-00055; MD-00056; MD-00057; MD-00058; MD-00059; MD-00060
PO-2024-0011,Zones,2024-11-08,MD-00059,1085,20165,Yes,P2P Approver,MD-00053; MD-00054; MD-00055; MD-00056; MD-00057; MD-00058; MD-00059; MD-00060
PO-2024-0011,Zones,2024-11-08,MD-00060,6380,20165,Yes,P2P Approver,MD-00053; MD-00054; MD-00055; MD-00056; MD-00057; MD-00058; MD-00059; MD-00060
PO-2025-0012,Insight,2025-12-16,MD-00061,2075,10060,Yes,"Category Manager, Client Devices",MD-00061; MD-00062; MD-00063; MD-00064
PO-2025-0012,Insight,2025-12-16,MD-00062,790,10060,Yes,"Category Manager, Client Devices",MD-00061; MD-00062; MD-00063; MD-00064
PO-2025-0012,Insight,2025-12-16,MD-00063,950,10060,Yes,"Category Manager, Client Devices",MD-00061; MD-00062; MD-00063; MD-00064
PO-2025-0012,Insight,2025-12-16,MD-00064,6245,10060,Yes,"Category Manager, Client Devices",MD-00061; MD-00062; MD-00063; MD-00064
PO-2022-0013,SHI,2022-01-04,MD-00065,1940,12790,Yes,IT Procurement Manager,MD-00065; MD-00066; MD-00067; MD-00068; MD-00069; MD-00070
PO-2022-0013,SHI,2022-01-04,MD-00066,655,12790,Yes,IT Procurement Manager,MD-00065; MD-00066; MD-00067; MD-00068; MD-00069; MD-00070
PO-2022-0013,SHI,2022-01-04,MD-00067,1130,12790,Yes,IT Procurement Manager,MD-00065; MD-00066; MD-00067; MD-00068; MD-00069; MD-00070
PO-2022-0013,SHI,2022-01-04,MD-00068,6425,12790,Yes,IT Procurement Manager,MD-00065; MD-00066; MD-00067; MD-00068; MD-00069; MD-00070
PO-2022-0013,SHI,2022-01-04,MD-00069,2120,12790,Yes,IT Procurement Manager,MD-00065; MD-00066; MD-00067; MD-00068; MD-00069; MD-00070
PO-2022-0013,SHI,2022-01-04,MD-00070,520,12790,Yes,IT Procurement Manager,MD-00065; MD-00066; MD-00067; MD-00068; MD-00069; MD-00070
PO-2023-0014,Connection,2023-02-11,MD-00071,995,19465,Yes,Hardware Buying Lead,MD-00071; MD-00072; MD-00073; MD-00074; MD-00075; MD-00076; MD-00077
PO-2023-0014,Connection,2023-02-11,MD-00072,6290,19465,Yes,Hardware Buying Lead,MD-00071; MD-00072; MD-00073; MD-00074; MD-00075; MD-00076; MD-00077
PO-2023-0014,Connection,2023-02-11,MD-00073,1985,19465,Yes,Hardware Buying Lead,MD-00071; MD-00072; MD-00073; MD-00074; MD-00075; MD-00076; MD-00077
PO-2023-0014,Connection,2023-02-11,MD-00074,700,19465,Yes,Hardware Buying Lead,MD-00071; MD-00072; MD-00073; MD-00074; MD-00075; MD-00076; MD-00077
PO-2023-0014,Connection,2023-02-11,MD-00075,1175,19465,Yes,Hardware Buying Lead,MD-00071; MD-00072; MD-00073; MD-00074; MD-00075; MD-00076; MD-00077
PO-2023-0014,Connection,2023-02-11,MD-00076,6470,19465,Yes,Hardware Buying Lead,MD-00071; MD-00072; MD-00073; MD-00074; MD-00075; MD-00076; MD-00077
PO-2023-0014,Connection,2023-02-11,MD-00077,1850,19465,Yes,Hardware Buying Lead,MD-00071; MD-00072; MD-00073; MD-00074; MD-00075; MD-00076; MD-00077
PO-2024-0015,CDW,2024-03-19,MD-00078,565,10715,Yes,Sourcing Lead,MD-00078; MD-00079; MD-00080; MD-00081; MD-00082
PO-2024-0015,CDW,2024-03-19,MD-00079,1040,10715,Yes,Sourcing Lead,MD-00078; MD-00079; MD-00080; MD-00081; MD-00082
PO-2024-0015,CDW,2024-03-19,MD-00080,6335,10715,Yes,Sourcing Lead,MD-00078; MD-00079; MD-00080; MD-00081; MD-00082
PO-2024-0015,CDW,2024-03-19,MD-00081,2030,10715,Yes,Sourcing Lead,MD-00078; MD-00079; MD-00080; MD-00081; MD-00082
PO-2024-0015,CDW,2024-03-19,MD-00082,745,10715,Yes,Sourcing Lead,MD-00078; MD-00079; MD-00080; MD-00081; MD-00082
PO-2025-0016,Insight,2025-04-23,MD-00083,1220,9315,Yes,"Director, Procurement",MD-00083; MD-00084; MD-00085
PO-2025-0016,Insight,2025-04-23,MD-00084,6200,9315,Yes,"Director, Procurement",MD-00083; MD-00084; MD-00085
PO-2025-0016,Insight,2025-04-23,MD-00085,1895,9315,Yes,"Director, Procurement",MD-00083; MD-00084; MD-00085
PO-2022-0017,SHI,2022-05-06,MD-00086,610,10150,Yes,IT Procurement Manager,MD-00086; MD-00087; MD-00088; MD-00089
PO-2022-0017,SHI,2022-05-06,MD-00087,1085,10150,Yes,IT Procurement Manager,MD-00086; MD-00087; MD-00088; MD-00089
PO-2022-0017,SHI,2022-05-06,MD-00088,6380,10150,Yes,IT Procurement Manager,MD-00086; MD-00087; MD-00088; MD-00089
PO-2022-0017,SHI,2022-05-06,MD-00089,2075,10150,Yes,IT Procurement Manager,MD-00086; MD-00087; MD-00088; MD-00089
PO-2023-0018,Zones,2023-06-13,MD-00090,790,20255,Yes,P2P Approver,MD-00090; MD-00091; MD-00092; MD-00093; MD-00094; MD-00095; MD-00096; MD-00097
PO-2023-0018,Zones,2023-06-13,MD-00091,950,20255,Yes,P2P Approver,MD-00090; MD-00091; MD-00092; MD-00093; MD-00094; MD-00095; MD-00096; MD-00097
PO-2023-0018,Zones,2023-06-13,MD-00092,6245,20255,Yes,P2P Approver,MD-00090; MD-00091; MD-00092; MD-00093; MD-00094; MD-00095; MD-00096; MD-00097
PO-2023-0018,Zones,2023-06-13,MD-00093,1940,20255,Yes,P2P Approver,MD-00090; MD-00091; MD-00092; MD-00093; MD-00094; MD-00095; MD-00096; MD-00097
PO-2023-0018,Zones,2023-06-13,MD-00094,655,20255,Yes,P2P Approver,MD-00090; MD-00091; MD-00092; MD-00093; MD-00094; MD-00095; MD-00096; MD-00097
PO-2023-0018,Zones,2023-06-13,MD-00095,1130,20255,Yes,P2P Approver,MD-00090; MD-00091; MD-00092; MD-00093; MD-00094; MD-00095; MD-00096; MD-00097
PO-2023-0018,Zones,2023-06-13,MD-00096,6425,20255,Yes,P2P Approver,MD-00090; MD-00091; MD-00092; MD-00093; MD-00094; MD-00095; MD-00096; MD-00097
PO-2023-0018,Zones,2023-06-13,MD-00097,2120,20255,Yes,P2P Approver,MD-00090; MD-00091; MD-00092; MD-00093; MD-00094; MD-00095; MD-00096; MD-00097
PO-2024-0019,CDW,2024-07-17,MD-00098,520,11665,Yes,"Category Manager, Client Devices",MD-00098; MD-00099; MD-00100; MD-00101; MD-00102; MD-00103
PO-2024-0019,CDW,2024-07-17,MD-00099,995,11665,Yes,"Category Manager, Client Devices",MD-00098; MD-00099; MD-00100; MD-00101; MD-00102; MD-00103
PO-2024-0019,CDW,2024-07-17,MD-00100,6290,11665,Yes,"Category Manager, Client Devices",MD-00098; MD-00099; MD-00100; MD-00101; MD-00102; MD-00103
PO-2024-0019,CDW,2024-07-17,MD-00101,1985,11665,Yes,"Category Manager, Client Devices",MD-00098; MD-00099; MD-00100; MD-00101; MD-00102; MD-00103
PO-2024-0019,CDW,2024-07-17,MD-00102,700,11665,Yes,"Category Manager, Client Devices",MD-00098; MD-00099; MD-00100; MD-00101; MD-00102; MD-00103
PO-2024-0019,CDW,2024-07-17,MD-00103,1175,11665,Yes,"Category Manager, Client Devices",MD-00098; MD-00099; MD-00100; MD-00101; MD-00102; MD-00103
PO-2025-0020,Insight,2025-08-28,MD-00104,6470,8885,Yes,Hardware Buying Lead,MD-00104; MD-00105; MD-00106
PO-2025-0020,Insight,2025-08-28,MD-00105,1850,8885,Yes,Hardware Buying Lead,MD-00104; MD-00105; MD-00106
PO-2025-0020,Insight,2025-08-28,MD-00106,565,8885,Yes,Hardware Buying Lead,MD-00104; MD-00105; MD-00106
PO-2022-0021,Connection,2022-09-05,MD-00107,1040,11370,Yes,IT Procurement Manager,MD-00107; MD-00108; MD-00109; MD-00110; MD-00111
PO-2022-0021,Connection,2022-09-05,MD-00108,6335,11370,Yes,IT Procurement Manager,MD-00107; MD-00108; MD-00109; MD-00110; MD-00111
PO-2022-0021,Connection,2022-09-05,MD-00109,2030,11370,Yes,IT Procurement Manager,MD-00107; MD-00108; MD-00109; MD-00110; MD-00111
PO-2022-0021,Connection,2022-09-05,MD-00110,745,11370,Yes,IT Procurement Manager,MD-00107; MD-00108; MD-00109; MD-00110; MD-00111
PO-2022-0021,Connection,2022-09-05,MD-00111,1220,11370,Yes,IT Procurement Manager,MD-00107; MD-00108; MD-00109; MD-00110; MD-00111
PO-2024-0024,SHI,2024-11-19,MD-00112,6200,19985,Yes,Sourcing Lead,MD-00112; MD-00113; MD-00114; MD-00115; MD-00116; MD-00117; MD-00118; MD-00119
PO-2024-0024,SHI,2024-11-19,MD-00113,1895,19985,Yes,Sourcing Lead,MD-00112; MD-00113; MD-00114; MD-00115; MD-00116; MD-00117; MD-00118; MD-00119
PO-2024-0024,SHI,2024-11-19,MD-00114,610,19985,Yes,Sourcing Lead,MD-00112; MD-00113; MD-00114; MD-00115; MD-00116; MD-00117; MD-00118; MD-00119
PO-2024-0024,SHI,2024-11-19,MD-00115,1085,19985,Yes,Sourcing Lead,MD-00112; MD-00113; MD-00114; MD-00115; MD-00116; MD-00117; MD-00118; MD-00119
PO-2024-0024,SHI,2024-11-19,MD-00116,6380,19985,Yes,Sourcing Lead,MD-00112; MD-00113; MD-00114; MD-00115; MD-00116; MD-00117; MD-00118; MD-00119
PO-2024-0024,SHI,2024-11-19,MD-00117,2075,19985,Yes,Sourcing Lead,MD-00112; MD-00113; MD-00114; MD-00115; MD-00116; MD-00117; MD-00118; MD-00119
PO-2024-0024,SHI,2024-11-19,MD-00118,790,19985,Yes,Sourcing Lead,MD-00112; MD-00113; MD-00114; MD-00115; MD-00116; MD-00117; MD-00118; MD-00119
PO-2024-0024,SHI,2024-11-19,MD-00119,950,19985,Yes,Sourcing Lead,MD-00112; MD-00113; MD-00114; MD-00115; MD-00116; MD-00117; MD-00118; MD-00119
PO-2025-0025,Zones,2025-01-22,MD-00120,6245,9970,Yes,P2P Approver,MD-00120; MD-00121; MD-00122; MD-00123
PO-2025-0025,Zones,2025-01-22,MD-00121,1940,9970,Yes,P2P Approver,MD-00120; MD-00121; MD-00122; MD-00123
PO-2025-0025,Zones,2025-01-22,MD-00122,655,9970,Yes,P2P Approver,MD-00120; MD-00121; MD-00122; MD-00123
PO-2025-0025,Zones,2025-01-22,MD-00123,1130,9970,Yes,P2P Approver,MD-00120; MD-00121; MD-00122; MD-00123
PO-2022-0026,Insight,2022-03-08,MD-00124,6425,18335,Yes,IT Procurement Manager,MD-00124; MD-00125; MD-00126; MD-00127; MD-00128; MD-00129
PO-2022-0026,Insight,2022-03-08,MD-00125,2120,18335,Yes,IT Procurement Manager,MD-00124; MD-00125; MD-00126; MD-00127; MD-00128; MD-00129
PO-2022-0026,Insight,2022-03-08,MD-00126,520,18335,Yes,IT Procurement Manager,MD-00124; MD-00125; MD-00126; MD-00127; MD-00128; MD-00129
PO-2022-0026,Insight,2022-03-08,MD-00127,995,18335,Yes,IT Procurement Manager,MD-00124; MD-00125; MD-00126; MD-00127; MD-00128; MD-00129
PO-2022-0026,Insight,2022-03-08,MD-00128,6290,18335,Yes,IT Procurement Manager,MD-00124; MD-00125; MD-00126; MD-00127; MD-00128; MD-00129
PO-2022-0026,Insight,2022-03-08,MD-00129,1985,18335,Yes,IT Procurement Manager,MD-00124; MD-00125; MD-00126; MD-00127; MD-00128; MD-00129
PO-2023-0022,CDW,2023-10-15,MD-00132,6470,6470,Yes,"Director, Procurement",MD-00132
PO-2023-0023,CDW,2023-10-15,MD-00130,700,1875,No,IT Procurement Manager,MD-00130; MD-00131
PO-2023-0023,CDW,2023-10-15,MD-00131,1175,1875,No,IT Procurement Manager,MD-00130; MD-00131
